"","ID","R1","R2","R3","R4","R5","R6","R7","R8","R9","M1","M2","M3","M4","M5","M6","M7","M8","M9","S2","S3","S4","S5","S6","S7","S8","S9","T1","T2","T3","T4","T5","T6","T7","T8","T9","SEX","RACE","LOCALE","INCOME","SCHOOL_TYPE","Approach_to_Learning","Self_control","Interpersonal","External_prob_Behavior","Internal_prob_Behavior","Attention_focus","Inhibitory_Ctrl","EDU"
"733","10000733",58.7133,63.5914,66.3886,89.1473,95.0157,105.6206,116.7372,128.297,128.6717,51.8045,46.4238,55.9823,73.3396,77.6443,87.7647,105.3714,98.9835,114.9117,33.9178,43.7191,48.5542,45.3246,61.3216,70.9421,72.3511,81.179,70.19,76.21,81.9,88.8,94.52,101.03,113.26,124.31,135.29,2,1,2,17,1,2.8571,3.5,3.2,1.6,1,3.5,3.3333,8
"783","10000783",53.4429,56.9676,63.9966,82.5906,104.4728,111.3001,102.0593,107.0249,124.0311,37.3447,39.3759,46.5871,67.0366,70.0262,69.815,80.6802,94.9913,111.8812,22.0046,25.8364,27.0121,26.462,38.6132,44.3882,49.3772,58.0995,60.49,67.89,72.92,79.33,84.89,91.89,103.79,113.82,127.73,2,2,2,6,2,2.5714,2.75,2.6,2.2,1.25,4.3333,4.8333,5
"847","10000847",52.3772,60.4575,80.5366,111.3387,123.3432,133.6489,145.5633,136.5438,147.3922,39.1981,48.8231,71.0203,76.2275,92.5715,111.0456,124.8191,121.7985,138.199,34.3539,36.2917,54.7491,53.5441,60.507,70.3484,78.2631,87.4283,69.21,74.76,81.86,86.63,92.91,98.79,111.06,123.12,136.01,2,1,2,14,1,2.7143,3.5,2,1,2,6.1667,6.1667,8
"882","10000882",62.8289,94.3021,114.9917,113.6586,126.0895,127.509,133.1691,143.002,149.4208,46.8868,60.1269,65.6315,82.7215,94.2641,104.0135,125.1279,132.8606,130.0362,34.1188,49.0603,65.52,75.5099,61.0406,73.779,79.2785,87.5069,71.97,77.36,83.7,90.35,96.2,102.31,113.19,125.23,137.19,2,2,2,5,1,3.8571,3.75,3.8,1,1.25,5.8333,5.6667,5
"883","10000883",64.1101,71.6991,96.3283,131.5267,134.3118,142.5718,146.9381,152.1644,155.1708,40.8242,53.8202,73.1538,85.9844,91.3227,103.6437,115.6966,119.0821,136.7324,38.8196,52.2709,57.2791,64.7412,64.4765,71.5391,83.1727,89.1403,68.91,73.78,79.96,86.63,92.28,98.53,110.47,121.48,133.51,2,1,4,16,1,3.1429,3.5,3.4,1,1,6.3333,6.3333,8
"938","10000938",64.0817,69.7413,88.2267,111.1678,109.2686,126.3991,133.2697,143.9072,146.6228,33.3633,45.2573,51.1909,73.5823,78.8813,92.029,119.2218,118.6368,121.7925,26.6048,31.4658,39.7029,47.2874,50.7809,60.9393,68.121,75.3206,67.27,72.33,79.66,85.45,91.89,97.45,107.47,121.48,131.51,2,1,1,15,1,2.7143,3,2.8,1.6,1.75,4.1667,5.4,6
"939","10000939",49.7032,69.4898,68.3945,76.2885,86.6617,90.4177,121.6666,121.2987,114.8421,30.081,42.2062,50.3674,66.0201,72.6412,90.4137,90.6316,95.6335,116.9195,34.4161,44.2301,48.2056,52.2959,55.2456,67.7575,64.084,71.0623,67.33,74.7,80.52,86.4,93.3,97.91,110.4,121.45,134.43,1,3,2,17,2,2.1429,2.5,2.2,1.8,2.25,2.8333,3.8333,7
"980","10000980",62.3854,86.323,91.1634,118.0186,119.7345,133.2937,134.5807,140.1162,147.5107,39.8919,59.098,72.4839,68.225,77.0891,90.0119,102.9803,114.8914,119.7599,42.6838,54.6168,63.2617,55.9917,60.1234,65.1682,72.2683,88.7959,65.13,71.84,77.13,83.51,89,95.54,106.52,118.52,130.52,2,1,1,16,2,3.8571,3.25,4,1.2,1.25,5,5.5,5
"1010","10001010",43.132,55.7256,55.4419,60.6475,47.5739,65.5129,83.6198,91.3459,87.9637,27.5819,22.7036,42.7638,43.8763,45.6159,54.8409,85.9725,105.8748,103.0636,34.9844,30.9971,35.7019,46.6764,40.9523,42.4385,66.9651,68.3431,69.73,75.72,82.13,85.97,93.4,98.73,109.22,122.24,134.14,1,1,2,17,1,2,2.3333,3.5,1.4,1,2,2.5,6
"1048","10001048",52.8902,56.9936,63.1674,98.0746,76.7149,91.3338,97.534,116.1992,112.5371,35.1358,46.8346,53.9172,69.3261,77.9062,84.6662,92.9176,95.1107,110.9268,26.6263,23.0859,36.9581,37.8126,41.485,49.1449,67.1972,70.0133,67.27,72.23,78.84,85.22,90.54,96.99,108.99,121.02,132.07,1,1,2,17,1,2.2857,3.3333,2.5,1,1.25,3.6667,4.4,8
"1091","10001091",59.719,54.7315,76.2332,108.0779,105.9797,106.0749,122.9548,133.1555,153.142,37.1857,37.4956,58.3808,68.2466,87.1826,97.6818,112.1487,124.5902,129.4518,36.1078,29.5136,35.004,49.8221,66.1288,59.6982,71.7554,77.116,63.55,69.07,75.72,82.13,87.65,94.09,105.5,116.55,129.5,1,3,2,9,1,4,3.5,3.2,1,1.25,6.3333,6.6667,3
"1098","10001098",42.2135,60.56,60.5632,93.7729,99.5073,110.8267,119.5059,116.946,122.2321,25.2431,39.5787,45.4444,71.6355,70.0875,89.1567,99.2877,110.0312,112.3809,29.4299,30.9178,41.038,40.3332,48.4503,55.2306,61.8324,68.8562,66.25,72.69,78.18,85.32,92.65,97.55,108.89,121.81,133.81,1,3,4,4,1,1.8333,2.3333,2.4,2,1,2.3333,2.25,4
"1099","10001099",83.1803,113.8541,125.2486,130.8849,140.931,146.4215,155.0592,151.4309,158.6775,71.5553,89.1832,102.4083,106.9864,110.7227,125.2152,133.1912,138.706,144.514,55.2795,66.1351,63.8796,78.9754,80.6689,86.9753,87.7289,90.1066,70.36,76.6,82.16,89.13,95.11,100.87,113.39,125.46,136.5,2,3,1,17,2,3.2857,3.5,3.6,1.2,1.75,5.6667,5.8,8
"1209","10001209",45.0316,61.6028,71.3063,82.4582,98.7778,106.6322,106.2196,116.6787,117.4015,29.0836,38.5983,48.24,63.0158,63.2156,71.9543,91.1308,93.2094,105.0131,24.6296,23.8694,34.4399,29.6967,37.1929,47.3776,63.3907,59.6346,67.43,73.84,80.98,84.62,91.96,98.24,111.02,121.12,133.02,2,2,2,11,1,2,2.25,2,2,1.5,3.8333,4.6667,7
"1239","10001239",71.3564,70.866,80.5658,104.0517,121.7556,121.3969,130.6784,145.3017,152.2953,46.0409,60.436,64.6747,93.2539,94.8354,101.9533,113.7004,119.3653,131.434,30.1971,35.4815,34.7223,48.7096,52.6572,62.1823,67.1804,79.9719,68.75,75.16,81.14,87.62,92.94,98.43,109.94,122.93,134.86,1,3,1,3,1,3.8571,3.5,3.4,1.6,1,6,5.2,3
"1244","10001244",51.387,60.585,64.4721,76.6126,74.8633,98.3309,118.2556,133.9489,132.5559,35.5873,41.0161,56.1964,81.0728,80.3646,86.2356,97.7543,100.9294,109.0483,33.2898,39.1335,54.4236,50.2033,56.0526,65.0294,73.8249,68.508,70.36,76.57,83.44,88.96,93.27,99.98,112.27,125.29,136.31,2,1,2,17,1,3.2857,3.5,3.2,1,1.25,5.3333,4.8333,3
"1245","10001245",54.8219,70.8248,86.6981,119.9792,118.5635,120.799,132.5657,149.1003,153.4348,33.283,57.1646,79.4308,101.1777,99.8516,106.6942,119.1998,124.0256,130.8567,35.8156,46.4141,57.9803,61.444,62.2614,72.7034,71.4875,84.6934,64.14,69.04,77.19,82.95,89,94.49,104.81,115.89,129.83,1,3,2,8,1,2.7143,2.6667,2.75,2.4,1.25,5,3.6667,5
"1247","10001247",54.7766,70.4013,82.6285,100.2783,105.5521,107.4975,117.017,130.3934,130.516,42.2127,50.9151,58.4125,61.0737,81.0863,93.1359,110.3394,124.7428,118.1549,37.7696,33.3464,37.2984,44.439,40.5347,63.2187,65.8616,61.0233,58.78,65.92,72.46,77.85,82.98,88.7,100.44,112.44,125.39,2,5,2,16,2,3.3333,3.3333,2.8,1,1,4.8333,6,6
"1252","10001252",47.9646,63.7789,84.2246,107.4171,102.3962,114.5259,122.8435,129.0615,143.7153,31.0418,41.0433,62.5543,65.0639,70.7743,74.9029,98.4143,93.9038,109.0105,30.0917,24.3176,37.2574,38.5137,43.5403,56.2156,67.633,74.9218,60.1,65.69,72.36,77.82,83.11,89.06,101.88,111.91,123.91,2,3,1,5,1,3.1429,3.6667,3.2,1,1,5.3333,5.5,6
"1282","10001282",53.5404,70.0951,74.2975,94.2975,113.6754,106.1173,110.1596,124.8621,140.3604,40.7329,62.9804,68.1035,75.4922,93.8489,97.6173,100.4362,129.8563,132.6358,33.8013,31.8271,37.805,50.3539,46.7494,66.6239,65.0143,79.172,67.4,72.69,79.17,85.35,91.27,97.35,108.89,121.84,133.84,2,1,4,10,1,3.2857,3.6667,3,1,1.75,6.4,5.8,8
"1311","10001311",46.9958,56.5527,71.8955,77.3393,81.6438,95.4009,123.1228,119.8882,144.8549,27.3692,51.7649,55.0675,67.1295,72.9746,85.4484,96.3253,109.2915,111.877,43.9433,33.6741,44.3427,46.3448,44.3833,52.4702,70.1893,71.8252,62.53,69.93,75.19,81.37,87.58,94.13,105.83,116.94,127.92,2,7,3,9,1,2.8571,2.25,2.8,2.2,1.5,4.6667,3.6667,3
"1373","10001373",36.454,41.7226,45.3901,46.1895,73.5289,67.3847,72.1906,77.3225,78.7087,16.4652,22.4607,23.9639,22.2135,13.6299,27.4013,43.407,59.0357,28.5587,22.904,21.3129,24.9685,30.9376,34.5125,38.9621,31.3673,33.8262,70.36,75.88,81.86,88.01,94.95,99.75,110.14,123.12,135.06,2,3,4,7,1,2.4286,2.75,3.8,2,1.5,1.6667,2.5,5
"1375","10001375",40.3946,62.09,74.3848,86.9007,104.9429,112.845,121.9042,126.005,121.7654,20.4657,34.5961,42.7137,65.6367,64.1236,77.8294,83.8538,109.1574,116.3198,27.4814,32.7323,34.7738,42.7084,44.5053,53.3515,68.4676,64.8322,61.64,67.17,74.27,79.13,85.32,91.23,103.5,115.56,128.45,1,1,2,17,1,2.7143,3.75,3,1,1.25,5.6667,5.5,5
"1380","10001380",57.4745,73.59,85.7508,115.8582,114.1002,123.8375,139.8334,145.1943,141.6829,30.0332,59.3042,70.8421,84.3174,88.2386,88.9904,123.2433,132.3826,125.8668,32.5836,44.9633,48.809,47.6875,59.1852,64.8473,63.7021,86.2313,68.25,74.17,79.46,87.02,91.2,97.68,108.66,121.68,133.68,2,3,1,11,1,4,3.25,3.6,1,1,6.3333,5.8333,5
"1406","10001406",52.4918,69.6164,78.021,95.28,96.4274,113.843,117.9079,120.7247,145.0639,37.6047,45.2753,43.3385,60.1788,56.1001,75.0946,94.6354,121.002,127.9236,36.1834,34.1692,47.634,46.5735,69.8866,72.2202,80.7095,89.3998,67.56,71.08,77,83.41,88.8,95.41,107.38,118.42,130.42,1,1,2,18,1,1.7143,2.5,1.8,2.4,1.5,1.5,3,8
"1416","10001416",49.2379,69.2915,76.6918,104.0724,109.8025,122.3307,136.9065,134.4822,138.2094,41.3946,53.8107,66.5055,86.6893,82.5104,85.879,116.1486,113.4434,122.6836,41.7365,36.2845,50.2923,54.5592,60.0287,68.1042,73.6037,81.3368,70.32,76.77,82.32,89.42,94.49,101,112.96,125.88,138.9,2,1,4,16,1,2.8571,3.25,3.2,1.8,1.25,5,5.5,6
"1462","10001462",52.3964,63.6191,73.745,84.5792,93.6231,103.6996,114.3783,122.5809,120.9875,42.0319,44.5969,50.3028,68.1116,76.7147,89.9623,104.4479,103.8979,119.3215,35.2826,35.8619,46.4346,44.534,49.0636,58.23,69.2546,68.7368,71.38,76.54,82.22,88.14,94.36,100.6,112.18,123.16,135.16,1,7,4,10,1,3.1429,2,2.8,3.8,2,3.8333,3,3
"1498","10001498",59.1139,78.8815,89.236,108.1048,109.6552,134.6046,148.7538,142.7008,149.7164,53.9716,70.2941,85.6579,84.5236,109.9592,111.8923,126.4982,134.0499,142.1316,37.0765,51.6143,54.3624,59.3708,61.4481,68.6998,79.5273,85.5555,75.35,80.88,86.89,91.89,97.68,104.32,114.44,127.4,139.43,2,1,2,11,1,4,3.75,4,1.4,1.25,6.5,6.1667,6
"1510","10001510",41.1457,47.2556,67.0332,77.5152,75.2606,91.8653,102.6515,106.8792,110.8318,21.5702,34.4285,57.9638,65.4367,68.6913,73.2216,77.5843,92.4068,96.7667,24.2982,23.7987,26.9006,30.0879,30.892,42.726,42.4123,43.4183,67.46,71.77,79.4,85.02,89.95,95.7,108.16,120.16,131.15,2,3,1,14,1,3.7143,3.75,3.8,1,1,6,5.4,8
"1522","10001522",62.3785,73.6688,94.1009,106.1544,98.6221,131.9979,125.2339,137.3613,142.048,37.731,57.9832,65.0845,70.5997,72.4287,104.0867,112.5061,117.8365,127.8082,37.5771,43.8541,41.7915,45.3816,55.6781,61.8781,67.9982,77.0152,63.98,69.86,76.64,81.34,87.72,94.22,104.98,117.99,128.94,1,3,1,12,1,3,3,3.6,1.8,1.25,4.5,5.3333,3
"1532","10001532",62.4757,101.6556,101.6354,128.1055,112.4006,127.1903,132.9964,146.2173,151.3399,41.2827,64.7364,59.8505,91.9162,99.2564,120.5396,120.5037,136.7914,136.9108,36.7287,44.4646,46.7303,49.3313,59.6571,59.2084,70.2111,74.8489,59.34,66.18,71.31,77.75,83.44,89.92,101.16,115.07,127.07,2,1,1,14,1,3.7143,3.6667,3,1,2,5.3333,5.8,8
"1586","10001586",37.058,39.3461,44.3948,42.6224,67.3096,65.5374,69.843,80.0216,81.565,14.7435,17.0766,16.063,24.3111,32.2676,41.7898,56.0828,64.3937,66.1574,19.4882,18.4699,18.6429,18.2115,22.71,29.9338,23.2367,28.303,61.68,65.36,72.26,77.1,83.93,91.1,100.5,113.42,124.5,1,3,1,5,1,2,2.25,2.8,1.8,1.75,5,4.3333,1
"1632","10001632",59.3665,74.2794,74.8479,112.9173,117.4065,117.4518,127.3442,137.2018,156.5455,42.5896,68.1521,86.6563,95.7199,109.7894,115.7923,128.551,131.5368,132.253,35.5414,45.9252,61.5012,61.2136,68.5244,75.841,71.1558,86.3342,68.12,74.66,80.15,86.96,93.67,97.64,109.55,121.55,132.59,1,3,2,15,1,2.8571,2.5,3,1.4,1.25,5.8,5.75,4
"1645","10001645",59.8945,74.5088,85.9543,99.0121,106.1226,124.3539,131.158,130.2244,129.0268,49.1714,61.2429,61.3724,74.2477,80.7294,99.9367,120.464,131.8276,124.0923,29.4346,31.3828,38.9239,41.1767,48.7593,63.184,69.4343,70.6028,70.36,75.62,83.34,88.11,93.34,100.96,111.85,124.8,135.75,2,1,2,11,1,2.8571,2.25,2.6,4,1.75,3.6667,3.1667,5
"1675","10001675",54.7411,87.9533,104.2802,113.1455,111.3111,139.5136,141.4018,149.9981,154.6969,42.7747,57.2737,56.4469,67.4197,71.4839,92.9397,113.1778,112.4548,135.5876,40.9495,35.3398,47.0296,49.3733,60.5091,64.4152,69.5015,82.2766,68.91,74.01,79.69,86.43,90.77,97.91,109.71,121.71,133.68,2,1,4,12,1,4,3,3.8,2,1.25,6.5,6.6667,5
"1692","10001692",47.4964,59.9695,73.7626,98.3164,103.3797,104.6241,115.2009,110.4386,130.0127,32.1466,34.6539,44.9648,64.2003,67.6174,81.3842,99.634,106.8527,120.1976,20.1236,27.6347,23.1299,29.0323,32.3286,43.3332,64.3636,68.2641,63.09,67.3,73.94,79.89,85.22,91.63,104.55,115.56,127.56,1,3,1,13,1,2,2.75,3,1.4,1.75,4.3333,4.5,3
"1701","10001701",84.2557,97.8721,99.3893,107.5511,113.72,126.8596,122.6629,133.1264,156.4049,41.1775,44.8885,54.8933,66.4687,81.9362,77.1966,101.14,113.1656,121.8559,33.3257,34.9025,39.2269,48.5872,58.5201,64.0192,64.1023,70.5309,69.07,75.25,80.75,86.7,94.32,99.62,111.91,122.93,134.89,1,1,2,17,2,3.4286,3.25,3,1,1,4.6667,6.4,8
"1764","10001764",52.6874,62.8077,72.9493,82.1078,89.711,101.8933,121.7234,131.2118,152.3933,40.6666,53.9858,65.8765,66.6847,67.6468,99.3333,109.5385,117.612,123.2984,40.1462,46.1549,50.7601,49.7239,50.1402,60.0985,71.6889,75.9801,64.27,70.03,76.24,81.96,88.41,93.96,105.99,117.9,129.9,1,1,4,17,1,2.1429,2.6667,2.2,1.4,1,3.8333,4.2,8
"1802","10001802",53.5052,66.5373,76.5962,85.5044,96.9534,116.8519,129.9562,141.5123,130.9226,32.8047,51.9327,57.9053,85.3762,77.74,90.2107,107.6945,118.5009,127.6907,41.9996,49.2726,52.8568,56.416,71.4628,77.3141,76.3723,88.063,69.7,75.68,81.9,88.01,93.53,99.78,113.26,124.34,136.27,1,3,2,17,1,2.8,2.5,2.6,1.8,1,4.6,3.8,8
"1811","10001811",100.1096,97.2679,108.8561,116.8688,112.1844,126.5059,125.0982,148.098,149.0274,62.7079,66.4239,74.6514,105.9351,97.4925,126.8877,125.641,136.3179,135.9601,45.5574,46.4236,53.9821,51.7147,65.2588,67.4563,71.3659,81.1453,81.34,86.43,92.12,98.83,103.2,110.3,122.14,134.1,146.1,1,1,4,17,1,3.5714,3,2.8,1.4,2.75,6.1667,6.6667,6
"1857","10001857",42.4316,52.4311,58.4111,70.7477,82.9019,94.9972,106.0729,119.9954,127.8101,19.0404,34.0833,41.7877,67.1428,66.1589,70.7236,72.2132,93.6137,97.8262,24.0573,32.0709,33.0139,35.4921,44.5793,47.0493,58.1134,77.2874,62.24,67.13,73.71,79.43,86.86,92.65,103.4,116.42,127.46,2,3,1,7,1,2.2857,2.75,3,1.8,1.25,3.3333,4.1667,6
"1864","10001864",63.1259,70.0154,80.3251,103.9273,112.3729,129.9542,116.2784,139.4534,140.2394,40.7723,55.7878,61.5595,66.6874,79.833,84.7233,85.8926,98.3897,121.1111,36.6262,40.412,40.8585,44.2181,50.7895,57.9893,63.8166,64.7671,66.05,71.84,78.67,83.7,90.61,96.43,108.2,121.12,133.18,2,5,1,18,2,3.2857,3.5,3.2,1,1,5,6,6
"1946","10001946",62.2663,94.9417,88.4472,108.9374,120.5086,125.469,133.6824,142.7008,152.7637,39.6187,58.9876,73.0274,82.9714,97.223,99.7625,118.8645,118.3429,130.7891,51.7993,47.0967,41.6801,55.2099,57.388,73.0812,74.5764,83.0064,67.17,73.12,79.63,83.47,90.02,96.23,109.68,120.72,133.64,2,1,2,14,1,3,2.75,2.8,2,1.25,5.8333,5,6
"2018","10002018",45.103,44.3926,55.7473,68.3044,78.8111,75.1794,92.9708,104.9686,110.2667,16.7849,24.7328,35.5565,53.2398,55.5074,68.6968,68.845,84.354,104.0721,19.2807,18.4979,25.0062,29.0541,27.5781,25.1606,41.5981,46.6653,67.69,73.18,79.92,86.27,91.79,98.24,109.64,120.69,133.64,1,3,2,16,1,2,2.6667,3,1.4,2.25,2.8333,4.6667,3
"2081","10002081",51.4602,66.3738,69.5433,87.974,102.3452,105.2051,120.5859,116.7914,137.6252,35.5925,53.6713,63.9959,72.834,86.6563,103.0828,123.0936,125.2822,128.4035,37.25,36.1318,41.2184,44.2002,50.3917,61.8635,69.6089,77.3517,64.93,71.11,78.12,83.97,89.98,95.97,107.54,120.49,132.49,1,1,2,17,2,3.5714,3.75,3.8,1.2,2.25,5,7,8
"2235","10002235",63.8443,73.5638,78.5867,115.329,126.2753,136.1347,144.0847,149.0968,150.0156,57.7107,77.606,73.1715,91.0599,89.8479,101.1818,125.3758,116.1727,139.3974,44.2211,51.4476,59.1015,71.0682,76.2919,81.3193,83.4049,89.1501,70.82,75.65,81.86,88.04,93.9,99.88,111.42,123.39,133.48,2,1,2,17,1,3.1429,3.75,3.5,1,1.75,4.6667,5.8,6
